Region,Offset,Motif,Count,Total
FG-dDMR_only,±2.0kb,FG-dDMR_05,296,510
FG-dDMR_only,±2.0kb,FG-dDMR_06,91,510
FG-dDMR_only,±2.0kb,FG-dDMR_07,152,510
FG-dDMR_only,±2.0kb,FG-dDMR_08,334,510
FG-dDMR_only,±2.0kb,FG-dDMR_09,137,510
FG-dDMR_only,±2.0kb,FG-dDMR_10,165,510
FG-dDMR_only,±2.0kb,FG-dDMR_11,242,510
FG-dDMR_only,±2.0kb,FG-dDMR_12,355,510
FG-dDMR_only,±2.0kb,FG-dDMR_13,290,510
FG-dDMR_only,±2.0kb,FG-dDMR_14,17,510
FG-dDMR_only,±2.0kb,FG-dDMR_15,189,510
FG-dDMR_only,±2.0kb,FG-dDMR_16,283,510
FG-dDMR_only,±2.0kb,FG-dDMR_17,164,510
FG-dDMR_only,±2.0kb,FG-dDMR_18,97,510
FG-dDMR_only,±2.0kb,FG-dDMR_19,181,510
FG-dDMR_only,±2.0kb,FG-dDMR_20,173,510
FG-dDMR_only,±2.0kb,FG-dDMR_21,340,510
FG-dDMR_only,±2.0kb,FG-dDMR_22,181,510
FG-dDMR_only,±2.0kb,FG-dDMR_23,310,510
FG-dDMR_only,±2.0kb,FG-dDMR_24,319,510
FG-dDMR_only,±2.0kb,FG-siren_01,130,510
FG-dDMR_only,±2.0kb,FG-siren_02,148,510
FG-dDMR_only,±2.0kb,FG-siren_03,312,510
FG-dDMR_only,±2.0kb,FG-siren_04,123,510
FG-dDMR_only,±2.0kb,FG-siren_05,154,510
FG-dDMR_only,±2.0kb,FG-siren_06,144,510
FG-dDMR_only,±2.0kb,FG-siren_07,188,510
FG-dDMR_only,±2.0kb,FG-siren_08,251,510
FG-dDMR_only,±2.0kb,FG-siren_09,247,510
FG-dDMR_only,±2.0kb,FG-siren_10,247,510
FG-siren_only,±0.0kb,FG-dDMR_01,44,170
FG-siren_only,±0.0kb,FG-dDMR_02,0,170
FG-siren_only,±0.0kb,FG-dDMR_03,23,170
FG-siren_only,±0.0kb,FG-dDMR_04,21,170
FG-siren_only,±0.0kb,FG-dDMR_05,24,170
FG-siren_only,±0.0kb,FG-dDMR_06,13,170
FG-siren_only,±0.0kb,FG-dDMR_07,10,170
FG-siren_only,±0.0kb,FG-dDMR_08,26,170
FG-siren_only,±0.0kb,FG-dDMR_09,7,170
FG-siren_only,±0.0kb,FG-dDMR_10,12,170
FG-siren_only,±0.0kb,FG-dDMR_11,7,170
FG-siren_only,±0.0kb,FG-dDMR_12,16,170
FG-siren_only,±0.0kb,FG-dDMR_13,40,170
FG-siren_only,±0.0kb,FG-dDMR_14,0,170
FG-siren_only,±0.0kb,FG-dDMR_15,21,170
FG-siren_only,±0.0kb,FG-dDMR_16,12,170
FG-siren_only,±0.0kb,FG-dDMR_17,23,170
FG-siren_only,±0.0kb,FG-dDMR_18,26,170
FG-siren_only,±0.0kb,FG-dDMR_19,23,170
FG-siren_only,±0.0kb,FG-dDMR_20,16,170
FG-siren_only,±0.0kb,FG-dDMR_21,28,170
FG-siren_only,±0.0kb,FG-dDMR_22,29,170
FG-siren_only,±0.0kb,FG-dDMR_23,14,170
FG-siren_only,±0.0kb,FG-dDMR_24,16,170
FG-siren_only,±0.0kb,FG-siren_01,74,170
FG-siren_only,±0.0kb,FG-siren_02,38,170
FG-siren_only,±0.0kb,FG-siren_03,14,170
FG-siren_only,±0.0kb,FG-siren_04,19,170
FG-siren_only,±0.0kb,FG-siren_05,21,170
FG-siren_only,±0.0kb,FG-siren_06,10,170
FG-siren_only,±0.0kb,FG-siren_07,16,170
FG-siren_only,±0.0kb,FG-siren_08,17,170
FG-siren_only,±0.0kb,FG-siren_09,32,170
FG-siren_only,±0.0kb,FG-siren_10,10,170
FG-siren_only,±1.0kb,FG-dDMR_01,88,170
FG-siren_only,±1.0kb,FG-dDMR_02,1,170
FG-siren_only,±1.0kb,FG-dDMR_03,38,170
FG-siren_only,±1.0kb,FG-dDMR_04,68,170
FG-siren_only,±1.0kb,FG-dDMR_05,61,170
FG-siren_only,±1.0kb,FG-dDMR_06,25,170
FG-siren_only,±1.0kb,FG-dDMR_07,25,170
FG-siren_only,±1.0kb,FG-dDMR_08,75,170
FG-siren_only,±1.0kb,FG-dDMR_09,29,170
FG-siren_only,±1.0kb,FG-dDMR_10,34,170
FG-siren_only,±1.0kb,FG-dDMR_11,50,170
FG-siren_only,±1.0kb,FG-dDMR_12,89,170
FG-siren_only,±1.0kb,FG-dDMR_13,77,170
FG-siren_only,±1.0kb,FG-dDMR_14,4,170
FG-siren_only,±1.0kb,FG-dDMR_15,40,170
FG-siren_only,±1.0kb,FG-dDMR_16,51,170
FG-siren_only,±1.0kb,FG-dDMR_17,37,170
FG-siren_only,±1.0kb,FG-dDMR_18,41,170
FG-siren_only,±1.0kb,FG-dDMR_19,40,170
FG-siren_only,±1.0kb,FG-dDMR_20,39,170
FG-siren_only,±1.0kb,FG-dDMR_21,84,170
FG-siren_only,±1.0kb,FG-dDMR_22,58,170
FG-siren_only,±1.0kb,FG-dDMR_23,61,170
FG-siren_only,±1.0kb,FG-dDMR_24,63,170
FG-siren_only,±1.0kb,FG-siren_01,111,170
FG-siren_only,±1.0kb,FG-siren_02,64,170
