File,Sample,Expression,Context
FG5-2_S10_4th_CpG.txt,FG5-2_S10,4th,CpG
FG5-2_S10_4th_CHG.txt,FG5-2_S10,4th,CHG
FG5-2_S10_4th_CHH.txt,FG5-2_S10,4th,CHH
FG5-2_S10_6th_CpG.txt,FG5-2_S10,6th,CpG
FG5-2_S10_6th_CHG.txt,FG5-2_S10,6th,CHG
FG5-2_S10_6th_CHH.txt,FG5-2_S10,6th,CHH
FG5-2_S10_8th_CpG.txt,FG5-2_S10,8th,CpG
FG5-2_S10_8th_CHG.txt,FG5-2_S10,8th,CHG
FG5-2_S10_8th_CHH.txt,FG5-2_S10,8th,CHH
FG5-2_S10_10th_CpG.txt,FG5-2_S10,10th,CpG
FG5-2_S10_10th_CHG.txt,FG5-2_S10,10th,CHG
FG5-2_S10_10th_CHH.txt,FG5-2_S10,10th,CHH
FG6-1_S11_NoExp_CpG.txt,FG6-1_S11,NoExp,CpG
FG6-1_S11_NoExp_CHG.txt,FG6-1_S11,NoExp,CHG
FG6-1_S11_NoExp_CHH.txt,FG6-1_S11,NoExp,CHH
FG6-1_S11_2nd_CpG.txt,FG6-1_S11,2nd,CpG
FG6-1_S11_2nd_CHG.txt,FG6-1_S11,2nd,CHG
FG6-1_S11_2nd_CHH.txt,FG6-1_S11,2nd,CHH
FG6-1_S11_4th_CpG.txt,FG6-1_S11,4th,CpG
FG6-1_S11_4th_CHG.txt,FG6-1_S11,4th,CHG
FG6-1_S11_4th_CHH.txt,FG6-1_S11,4th,CHH
FG6-1_S11_6th_CpG.txt,FG6-1_S11,6th,CpG
FG6-1_S11_6th_CHG.txt,FG6-1_S11,6th,CHG
FG6-1_S11_6th_CHH.txt,FG6-1_S11,6th,CHH
FG6-1_S11_8th_CpG.txt,FG6-1_S11,8th,CpG
FG6-1_S11_8th_CHG.txt,FG6-1_S11,8th,CHG
FG6-1_S11_8th_CHH.txt,FG6-1_S11,8th,CHH
FG6-1_S11_10th_CpG.txt,FG6-1_S11,10th,CpG
FG6-1_S11_10th_CHG.txt,FG6-1_S11,10th,CHG
FG6-1_S11_10th_CHH.txt,FG6-1_S11,10th,CHH
FG6-2_S12_NoExp_CpG.txt,FG6-2_S12,NoExp,CpG
FG6-2_S12_NoExp_CHG.txt,FG6-2_S12,NoExp,CHG
FG6-2_S12_NoExp_CHH.txt,FG6-2_S12,NoExp,CHH
FG6-2_S12_2nd_CpG.txt,FG6-2_S12,2nd,CpG
FG6-2_S12_2nd_CHG.txt,FG6-2_S12,2nd,CHG
